ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Source
Arawa,Arawa,arua1263,Aruá (Amazonas State),aru,South America,-5.5,-67.98,Arawan,
Banawa,Banawa,bana1307,Banawa,,South America,-6.74,-64.9,Arawan,
Deni,Deni,deni1241,Deni,dny,South America,-6.75,-67.5,Arawan,
Jamamadi,Jamamadi,jama1261,Madi,jaa,South America,-7.62,-66.57,Arawan,
Jarawara,Jarawara,jara1276,Jarawara,,South America,-7,-65,Arawan,
Kulina,Kulina,culi1244,Culina,cul,South America,-8.55,-70.66,Arawan,
Paumari,Paumari,paum1247,Paumari,pad,South America,-5.78,-64.28,Arawan,
Sorowaha,Sorowaha,suru1263,Suruahá,swx,South America,-6.83,-66.31,Arawan,
Amarakaeri,Amarakaeri,amar1274,Amarakaeri,amr,South America,-12.49,-70.55,Harakmbut,
Katawishi,Katawishi,kata1270,Katawixi,xat,South America,-7.25,-64.83,Katukinan,
Kanamari,Kanamari,kana1291,Katukína-Kanamarí,knm,South America,-6.45,68.77,Katukinan,groth1985syntax
ProtoArawan,Proto-Arawan,,,,,-6.82,-64.61,,
KatukinaBia,KatukinaBiá,,,,,-4.949,-67.767,,
