ID	Name	Family	ISO639P3code	Glottocode	Glottolog_Name	Latitude	Longitude	Macroarea	Sources
Arawa	Arawa	Arawan	aru	arua1263	Arua	-5.5	-67.98	South America	ehrenreich1897materialien
Banawa	Banawa	Arawan		bana1307	Banawa	-6.74	-64.9	South America	ladefoged1997phonetic
Deni	Deni	Arawan	dny	deni1241	Deni	-6.75	-67.5	South America	dixon2004proto,carvalho2013analise,carvalho2013fonologia,carvalho2013sobrefonologia,carvalho2018adjective,koop1985dicionario
Jamamadi	Jamamadi	Arawan	jaa	jama1261	Madi	-7.62	-66.57	South America	campbell1992jamamadi,dixon2004proto,dixon2004adjective
Jarawara	Jarawara	Arawan		jara1276	Jarawara	-7	-65	South America	dixon2004proto,dixon1995fusional,vogel2021typology,dixon2004jarawara
Kulina	Kulina	Arawan	cul	culi1244	Culina	-8.55	-70.66	South America	dixon2004proto,monserrat1986gramatica,dienst2014grammar
Paumari	Paumari	Arawan	pad	paum1247	Paumari	-5.78	-64.28	South America	dixon2004proto,chapman1998dicionario
Sorowaha	Sorowaha	Arawan	swx	suru1263	Suruahá	-6.83	-66.31	South America	dixon2004proto,suzuki2000ocp,suzuki1977fonetica
Amarakaeri	Amarakaeri	Harakmbut	amr	amar1274	Amarakaeri	-12.49	-70.55	South America	adelaar2000propuesta,van2014argument,vanlinden2019harakmbut,van2019nominalization,van2020construction,van2016classifier,tripp1995diccionario,chávez1984skizze
Katawishi	Katawishi	Katukinan	xat	kata1270	Katawixi	-7.25	-64.83	South America	adelaar2007katawixi,tastevin1920notes
Kanamari	Kanamari	Katulinan	knm	kana1291	Katukína-Kanamarí	-6.45	-68.77	South America	silva2011fonologia,adelaar2000propuesta,magalhaes2018kanamari,queixalos2007ergatividad
ProtoArawan	Proto-Arawan	Arawan				-6.82	-64.61	South America	dixon2004proto
KatukinaBia	KatukinaBiá	Katukinan				-4.949	-67.767	South America	anjos2011fonologia,adelaar2000propuesta,rivet1920katukina,adelaar2007katawixi
Arasairi	Arasairi	Harakmbut		aras1241	Arasairi	-13.32	-71.73	South America	aza1933vocabulario
Apurina	Apurinã	Arawakan	apu	apur1254	Apurinã	-8.22	-66.77	South America	
Paumari_1833	Paumari_1833	Arawan	pad	paum1247	Paumari	-5.78	-64.28	South America	
Sapiteri	Sapiteri	Harakmbut	hug	sapi1239	Sapiteri	-13.32	-71.23	South America	
Toyeri	Toyeri	Harakmbut	hug	toye1240	Toyeri	-13.32	-71.23	South America	peck1979toyeri
